Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/cart?sessionId=cd9a23e0-857a-11f1-80a3-e58355e4aa54,11,10,290,287.9181051823914,262.01515099819517,324.34249100333545,21.272727272727273,0.01222108310467571,0.01111007554970519,290,290,290,290,300,320,320,320,320,320,320
GET,/api/cart?sessionId=cd9a2a52-857a-11f1-80a3-e58355e4aa54,20,18,290,340.2292339003907,262.86786300624954,558.4280870025395,21.3,0.02222015109941038,0.019998135989469343,310,380,390,410,500,560,560,560,560,560,560
GET,/api/cart?sessionId=cd9a3182-857a-11f1-80a3-e58355e4aa54,9,9,290,314.9911638886099,251.92026899458142,555.5680360048427,21.0,0.009999067994734672,0.009999067994734672,290,300,300,310,560,560,560,560,560,560,560
GET,/api/cart?sessionId=cd9a368c-857a-11f1-80a3-e58355e4aa54,16,16,270,325.0413953755924,255.76115200237837,608.7618399978965,21.0,0.017776120879528304,0.017776120879528304,270,300,340,340,550,610,610,610,610,610,610
GET,/api/cart?sessionId=cd9a6b98-857a-11f1-80a3-e58355e4aa54,8,8,300,336.163300874432,265.26494899735553,590.1853000032133,21.0,0.008888060439764152,0.008888060439764152,310,320,330,330,590,590,590,590,590,590,590
GET,/api/cart?sessionId=cd9a73ae-857a-11f1-80a3-e58355e4aa54,11,11,300,297.8840825446903,251.0844799980987,349.38757400232134,21.0,0.01222108310467571,0.01222108310467571,300,310,310,310,340,350,350,350,350,350,350
GET,/api/cart?sessionId=cd9a7908-857a-11f1-80a3-e58355e4aa54,11,11,310,349.6604556361986,261.94240400218405,574.18220800173,21.0,0.01222108310467571,0.01222108310467571,310,370,390,390,450,570,570,570,570,570,570
GET,/api/cart?sessionId=cd9a7e94-857a-11f1-80a3-e58355e4aa54,12,11,330,350.4214448348648,259.2179639977985,561.8278600013582,21.25,0.013332090659646228,0.01222108310467571,330,330,380,380,510,560,560,560,560,560,560
GET,/api/cart?sessionId=cd9a834e-857a-11f1-80a3-e58355e4aa54,14,14,290,339.74507485670205,258.6455450000358,686.7726599957678,21.0,0.015554105769587266,0.015554105769587266,300,330,340,390,450,690,690,690,690,690,690
POST,/api/checkout,917,917,300,316.64140294542585,245.01773300289642,3301.0174029986956,21.0,1.0187939279079659,1.0187939279079659,300,310,320,350,380,440,610,760,3300,3300,3300
GET,/api/data/,203,0,540,591.547527399159,500.1372929982608,3699.8728339967784,202.0295566502463,0.22553453365901535,0.0,540,570,600,610,650,740,1000,1100,3700,3700,3700
GET,/api/data/?contextKeys=accessories,198,0,560,602.8614350503594,489.6081629995024,1433.4571560029872,303.0,0.21997949588416277,0.0,560,600,620,640,740,850,1100,1400,1400,1400,1400
GET,/api/data/?contextKeys=assembly,201,0,560,607.2824994232509,496.72395000379765,5147.667457000352,89.0,0.22331251854907433,0.0,560,590,600,610,670,740,970,1100,5100,5100,5100
GET,/api/data/?contextKeys=binoculars,211,0,560,607.8242469909744,498.22396100353217,1667.0454129998689,83.0,0.2344225940987795,0.0,560,590,620,640,720,940,1100,1300,1700,1700,1700
GET,/api/data/?contextKeys=books,209,0,560,611.8041939902747,495.96637700597057,3940.116311001475,203.16267942583733,0.23220057898883847,0.0,560,590,620,640,690,810,1100,1200,3900,3900,3900
GET,/api/data/?contextKeys=telescopes,209,0,560,585.102238430548,498.69311899965396,1032.1596220019273,106.0,0.23220057898883847,0.0,560,580,600,630,670,790,900,930,1000,1000,1000
GET,/api/data/?contextKeys=travel,189,0,560,630.7151148045834,496.391444998153,3695.2104500014684,129.0,0.20998042788942808,0.0,560,590,610,640,730,990,1100,3600,3700,3700,3700
POST,/api/product-ask-ai-assistant/0PUK6V6EV0,46,46,290,311.06008454314536,247.9602759995032,593.4047829941846,21.0,0.051106347528643875,0.051106347528643875,290,300,310,320,370,550,590,590,590,590,590
POST,/api/product-ask-ai-assistant/1YMWWN1N4O,51,51,290,334.61029454823193,249.31415900209686,1496.6121039979043,21.0,0.056661385303496466,0.056661385303496466,290,300,330,330,400,430,810,1500,1500,1500,1500
POST,/api/product-ask-ai-assistant/2ZYFJ3GM2N,53,53,300,322.0619215849097,253.08214699907694,800.577866997628,21.0,0.05888340041343751,0.05888340041343751,300,320,330,340,380,420,710,800,800,800,800
POST,/api/product-ask-ai-assistant/66VCHSJNUP,60,60,290,314.8629067495979,251.51931500295177,763.0983089984511,21.0,0.06666045329823114,0.06666045329823114,290,320,330,340,360,430,550,760,760,760,760
POST,/api/product-ask-ai-assistant/6E92ZMYYFZ,48,48,280,389.66246550035066,252.93244600470643,2880.611189000774,21.0,0.05332836263858491,0.05332836263858491,280,290,310,320,430,530,2900,2900,2900,2900,2900
POST,/api/product-ask-ai-assistant/9SIQT8TOJO,40,40,290,403.6076482751014,252.957033997518,4062.3332029936137,21.0,0.04444030219882076,0.04444030219882076,290,320,330,340,390,650,4100,4100,4100,4100,4100
POST,/api/product-ask-ai-assistant/HQTGWGPNH4,34,34,290,312.10189076399035,249.52150199533207,580.2323759999126,21.0,0.037774256868997644,0.037774256868997644,290,300,340,340,380,520,580,580,580,580,580
POST,/api/product-ask-ai-assistant/L9ECAV7KIM,60,60,290,363.29275234990445,251.30961499962723,3802.1545209994656,21.0,0.06666045329823114,0.06666045329823114,290,300,320,330,390,450,550,3800,3800,3800,3800
